time,R_Shoulder_Pitch_Joint,R_Shoulder_Roll_Joint,R_Shoulder_Yaw_Joint,R_Elbow_Joint,R_Wrist_Yaw_Joint,R_Wrist_Roll_Joint,R_Wrist_Pitch_Joint,R_Thumb_Yaw_Joint,R_Thumb_CMC_Joint,R_Thumb_MCP_Joint,R_Index_MCP_Joint,R_Index_PIP_Joint,R_Middle_MCP_Joint,R_Middle_PIP_Joint,R_Ring_MCP_Joint,R_Ring_PIP_Joint,R_Little_MCP_Joint,R_Little_PIP_Joint
0.000000,10.100726,0.019372,-9.993003,-102.949509,180.046753,-15.025369,-25.015497,-84.993134,49.999706,0.000423,14.999661,19.957726,0.000119,0.000012,0.000129,0.000016,0.000134,0.000019
0.020000,9.913935,0.022464,-9.993973,-102.490135,180.061005,-15.032433,-25.020048,-84.993355,49.949112,0.000409,14.893495,19.908253,0.000157,0.000016,0.000169,0.000020,0.000176,0.000025
0.040000,9.488404,0.023928,-9.994418,-101.659538,180.067703,-15.035636,-25.022129,-84.993790,49.851379,0.000382,14.688285,19.812769,0.000180,0.000018,0.000195,0.000023,0.000202,0.000028
0.060000,8.905548,0.024336,-9.994426,-100.582237,180.069275,-15.036325,-25.022593,-84.994270,49.725960,0.000345,14.424896,19.690414,0.000194,0.000020,0.000209,0.000025,0.000218,0.000030
0.080000,8.228375,0.023874,-9.994389,-99.357727,180.067703,-15.035366,-25.022125,-84.995148,49.588276,0.000053,14.136258,19.556639,0.000201,0.000020,0.000217,0.000026,0.000226,0.000031
0.100000,7.482384,0.010404,-10.021486,-98.209366,179.999329,-15.076962,-25.032993,-84.989738,49.668156,0.352013,13.850190,19.424488,0.000215,0.000022,0.000232,0.000028,0.000241,0.000033
0.120000,6.679187,-0.028033,-10.087058,-97.256065,179.846069,-15.166242,-25.043154,-84.965958,50.039341,1.478993,13.591208,19.305500,0.000202,0.000021,0.000218,0.000027,0.000227,0.000032
0.140000,5.954247,-0.048917,-10.119287,-96.199059,179.775848,-15.197276,-25.026262,-84.959549,50.206627,4.980553,13.381769,19.210182,0.000186,0.000020,0.000200,0.000025,0.000208,0.000029
0.160000,5.355657,-0.049697,-10.118537,-95.116928,179.779831,-15.185234,-24.994747,-84.967262,50.205093,9.741014,13.242971,19.148468,0.000181,0.000019,0.000195,0.000024,0.000203,0.000029
0.180000,4.883718,-0.046914,-10.111421,-94.187660,179.808487,-15.158735,-24.961805,-84.982941,50.182690,13.822281,13.195032,19.129858,0.000179,0.000019,0.000193,0.000024,0.000201,0.000028
0.200000,4.557428,-0.044609,-10.104741,-93.515465,179.839218,-15.134201,-24.933685,-84.999474,50.198524,16.707239,13.257619,19.163588,0.000176,0.000018,0.000190,0.000023,0.000197,0.000028
0.220000,4.405577,-0.041642,-10.098184,-93.169174,179.865295,-15.113483,-24.911655,-85.013588,50.278088,18.195637,13.450031,19.258738,0.000172,0.000018,0.000185,0.000023,0.000193,0.000027
0.240000,4.449214,-0.031166,-10.086455,-93.199112,179.880157,-15.068457,-24.839851,-85.019455,50.506180,17.887058,13.791349,19.424274,0.000167,0.000017,0.000181,0.000022,0.000188,0.000026
0.260000,4.549572,-0.019509,-10.081984,-93.390251,179.855347,-15.039448,-24.714031,-85.005798,50.875710,16.368574,14.300504,19.669109,0.000159,0.000016,0.000172,0.000021,0.000179,0.000025
0.280000,4.684745,-0.000696,-10.060482,-93.640701,179.850479,-14.968711,-24.574177,-84.999939,51.417068,14.392094,14.996326,20.002073,0.000147,0.000015,0.000158,0.000019,0.000165,0.000023
0.300000,4.795253,0.010549,-10.042161,-93.768021,179.871567,-14.946642,-24.571249,-84.994347,51.827606,13.756511,15.420292,20.204428,0.000140,0.000014,0.000151,0.000018,0.000157,0.000022
0.320000,4.858483,0.014050,-10.036890,-93.905441,179.856979,-14.972278,-24.602125,-84.977226,52.960804,11.787429,18.022543,21.444794,0.000131,0.000013,0.000141,0.000017,0.000147,0.000020
