time,hammer_x,hammer_y,hammer_z,hammer_qw,hammer_qx,hammer_qy,hammer_qz,rhand_x,rhand_y,rhand_z,rhand_qw,rhand_qx,rhand_qy,rhand_qz
0.000000,0.511870,-0.130649,-0.413391,-0.013632,0.000055,0.999888,0.006100,0.443453,-0.260400,-0.307994,-0.031837,-0.557497,0.007420,0.829535
0.020000,0.511957,-0.130630,-0.413389,-0.013622,0.000039,0.999889,0.006097,0.443617,-0.260288,-0.308913,-0.031780,-0.556641,0.007103,0.830115
0.040000,0.512046,-0.130599,-0.413391,-0.013624,0.000011,0.999889,0.006097,0.444877,-0.259697,-0.311691,-0.031615,-0.554179,0.005727,0.831777
0.060000,0.512101,-0.130588,-0.413392,-0.013625,0.000002,0.999889,0.006097,0.447011,-0.258724,-0.315380,-0.031413,-0.550957,0.003621,0.833934
0.080000,0.512137,-0.130588,-0.413393,-0.013626,0.000002,0.999889,0.006097,0.449677,-0.257483,-0.319625,-0.031207,-0.547237,0.001060,0.836395
0.100000,0.512162,-0.130593,-0.413394,-0.013627,0.000006,0.999889,0.006097,0.452608,-0.256077,-0.324129,-0.031024,-0.543235,-0.001727,0.839005
0.120000,0.511889,-0.130211,-0.413473,-0.013705,-0.000327,0.999887,0.006092,0.456443,-0.254845,-0.325779,-0.031150,-0.541975,-0.005037,0.839802
0.140000,0.513580,-0.128885,-0.413419,-0.013720,-0.010432,0.999834,0.005958,0.460142,-0.253688,-0.327524,-0.031279,-0.540614,-0.008081,0.840650
0.160000,0.515634,-0.127531,-0.413365,-0.013751,-0.024935,0.999578,0.005758,0.462962,-0.252376,-0.330877,-0.031192,-0.537691,-0.010620,0.842498
0.180000,0.516996,-0.126547,-0.413356,-0.013809,-0.036672,0.999216,0.005596,0.465049,-0.251166,-0.334560,-0.031037,-0.534377,-0.012613,0.844582
0.200000,0.517870,-0.125808,-0.413357,-0.013859,-0.045058,0.998873,0.005481,0.466528,-0.250238,-0.337618,-0.030894,-0.531589,-0.014032,0.846322
0.220000,0.518360,-0.125360,-0.413358,-0.013889,-0.050135,0.998631,0.005411,0.467373,-0.249657,-0.339651,-0.030801,-0.529737,-0.014853,0.847473
0.240000,0.518495,-0.125307,-0.413359,-0.013910,-0.051542,0.998559,0.005388,0.467507,-0.249484,-0.340419,-0.030717,-0.529080,-0.014979,0.847884
0.260000,0.518539,-0.125377,-0.413365,-0.013899,-0.051901,0.998541,0.005385,0.467377,-0.249597,-0.339987,-0.030411,-0.530157,-0.014906,0.847223
0.280000,0.518384,-0.125579,-0.413370,-0.013884,-0.051719,0.998551,0.005392,0.466859,-0.249772,-0.338770,-0.029833,-0.532371,-0.014221,0.845866
0.300000,0.518307,-0.125700,-0.413374,-0.013876,-0.051697,0.998552,0.005383,0.466534,-0.249899,-0.337945,-0.029436,-0.533856,-0.013763,0.844951
0.320000,0.518346,-0.125743,-0.413365,-0.013897,-0.051660,0.998554,0.005387,0.466041,-0.249935,-0.337892,-0.029594,-0.533572,-0.013560,0.845128
0.340000,0.518388,-0.125702,-0.413372,-0.013916,-0.051887,0.998541,0.005388,0.465820,-0.249967,-0.337487,-0.029862,-0.533690,-0.013605,0.845043
0.360000,0.518570,-0.125565,-0.413589,-0.014465,-0.053139,0.998469,0.005173,0.465756,-0.249953,-0.336937,-0.030240,-0.533856,-0.013731,0.844923
0.380000,0.519104,-0.125298,-0.413229,-0.016258,-0.055415,0.998311,0.006364,0.465600,-0.249988,-0.336783,-0.030543,-0.533612,-0.013894,0.845064
0.400000,0.519372,-0.125154,-0.413368,-0.014014,-0.056492,0.998290,0.005355,0.465562,-0.249962,-0.336600,-0.030662,-0.533824,-0.013948,0.844924
0.420000,0.519679,-0.125176,-0.413394,-0.013852,-0.057574,0.998231,0.005293,0.465425,-0.249994,-0.336860,-0.030663,-0.533246,-0.013655,0.845294
